timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2025-05-20 00:00:00,3235.73,3244.54,3219.0,3226.31,1311.9681,2025-05-20 03:59:59.999,4233166.76138000,7938,355.04320000,1145826.27491100,0
2025-05-20 04:00:00,3226.62,3242.08,3225.05,3240.52,460.0097,2025-05-20 07:59:59.999,1487132.99470600,3947,309.71090000,1001424.88133300,0
2025-05-20 08:00:00,3240.52,3262.04,3235.34,3261.34,1109.4755,2025-05-20 11:59:59.999,3607010.16471700,6522,697.86010000,2268328.69342000,0
2025-05-20 12:00:00,3261.25,3299.99,3250.98,3291.0,1341.3397,2025-05-20 15:59:59.999,4405278.84383300,9752,685.99140000,2252615.26506300,0
2025-05-20 16:00:00,3290.82,3305.75,3289.14,3304.27,1222.2008,2025-05-20 19:59:59.999,4033427.26019200,10697,568.79420000,1877124.47128600,0
2025-05-20 20:00:00,3304.27,3313.86,3296.0,3303.02,891.8065,2025-05-20 23:59:59.999,2948834.27426300,9044,316.57800000,1046436.38826600,0
2025-05-21 00:00:00,3303.02,3324.0,3299.0,3318.1,622.8152,2025-05-21 03:59:59.999,2061076.61921600,7119,391.33280000,1294953.24318500,0
2025-05-21 04:00:00,3318.09,3327.55,3306.81,3317.69,673.8289,2025-05-21 07:59:59.999,2235861.72224600,6630,302.44100000,1004044.79341500,0
2025-05-21 08:00:00,3317.7,3327.26,3313.66,3318.79,375.7052,2025-05-21 11:59:59.999,1247303.74135300,5585,205.81930000,683310.77880300,0
2025-05-21 12:00:00,3318.79,3321.99,3300.0,3318.75,1032.6699,2025-05-21 15:59:59.999,3420406.94793000,8459,596.43080000,1975587.64121500,0
2025-05-21 16:00:00,3319.0,3333.59,3277.35,3325.96,1286.7556,2025-05-21 19:59:59.999,4268179.62978000,14733,759.15330000,2519801.28661400,0
2025-05-21 20:00:00,3326.06,3327.0,3318.51,3322.47,395.692,2025-05-21 23:59:59.999,1315122.15231500,4169,169.49900000,563345.84571800,0
2025-05-22 00:00:00,3322.48,3349.78,3321.95,3340.63,1028.8154,2025-05-22 03:59:59.999,3435233.08033000,11232,447.81750000,1495160.97989800,0
2025-05-22 04:00:00,3340.63,3345.4,3333.03,3337.0,524.1337,2025-05-22 07:59:59.999,1749720.34117100,5788,224.85900000,750719.53432600,0
2025-05-22 08:00:00,3336.6,3339.62,3293.69,3321.32,1313.6693,2025-05-22 11:59:59.999,4352630.29840300,10647,591.86840000,1960837.63744300,0
2025-05-22 12:00:00,3321.32,3325.0,3292.69,3302.93,812.8064,2025-05-22 15:59:59.999,2689484.97996400,8150,390.94100000,1293528.80413600,0
2025-05-22 16:00:00,3302.93,3314.0,3300.39,3302.8,602.5158,2025-05-22 19:59:59.999,1992356.80458200,6471,333.72120000,1103828.05235500,0
2025-05-22 20:00:00,3303.26,3312.52,3300.88,3308.78,249.2578,2025-05-22 23:59:59.999,824240.32422000,6376,99.64540000,329515.83395500,0
2025-05-23 00:00:00,3309.27,3318.65,3300.0,3312.07,684.7067,2025-05-23 03:59:59.999,2265912.30942200,7569,353.87990000,1171691.11095800,0
2025-05-23 04:00:00,3312.22,3339.72,3311.99,3334.61,1027.5094,2025-05-23 07:59:59.999,3418954.49358200,9826,612.71440000,2038517.39012500,0
2025-05-23 08:00:00,3334.81,3353.22,3326.05,3349.23,739.1736,2025-05-23 11:59:59.999,2468451.12054100,7012,373.32060000,1247555.65471100,0
2025-05-23 12:00:00,3349.32,3366.99,3337.44,3359.56,1497.4817,2025-05-23 15:59:59.999,5024422.80914100,12682,843.00730000,2829075.69046400,0
2025-05-23 16:00:00,3359.97,3371.0,3356.4,3363.76,730.9396,2025-05-23 19:59:59.999,2458866.70491000,6027,349.14060000,1174503.28298900,0
2025-05-23 20:00:00,3363.76,3370.0,3353.34,3360.8,653.5284,2025-05-23 23:59:59.999,2198012.71253300,6649,342.96030000,1153752.07989200,0
2025-05-24 00:00:00,3360.97,3368.4,3354.98,3362.59,281.2925,2025-05-24 03:59:59.999,945943.89892400,3397,154.13220000,518334.37575200,0
2025-05-24 04:00:00,3362.6,3379.97,3361.04,3368.29,460.0728,2025-05-24 07:59:59.999,1549978.79280000,3651,236.71330000,798202.81212900,0
2025-05-24 08:00:00,3368.3,3371.41,3359.32,3359.32,220.7902,2025-05-24 11:59:59.999,743107.69860100,3069,80.39220000,270605.74301600,0
2025-05-24 12:00:00,3359.48,3368.14,3359.45,3365.47,92.3554,2025-05-24 15:59:59.999,310741.22114200,2221,51.29500000,172582.59593100,0
2025-05-24 16:00:00,3365.45,3366.65,3360.0,3362.68,200.3388,2025-05-24 19:59:59.999,673692.89075600,2375,76.95370000,258775.40672700,0
2025-05-24 20:00:00,3362.67,3365.43,3358.31,3361.57,124.234,2025-05-24 23:59:59.999,417614.86502000,2252,57.83690000,194432.69777000,0
2025-05-25 00:00:00,3361.57,3368.24,3358.76,3366.54,240.4481,2025-05-25 03:59:59.999,808782.20055800,3777,127.57670000,429141.76008800,0
2025-05-25 04:00:00,3366.53,3368.26,3362.57,3365.25,177.1986,2025-05-25 07:59:59.999,596388.85845500,3728,67.57620000,227415.71757100,0
2025-05-25 08:00:00,3365.25,3374.0,3362.6,3368.37,490.1961,2025-05-25 11:59:59.999,1650901.72926100,6433,259.43370000,873815.89890800,0
2025-05-25 12:00:00,3368.36,3377.54,3368.36,3372.8,456.9807,2025-05-25 15:59:59.999,1541796.62799900,7241,263.73680000,889871.44682700,0
2025-05-25 16:00:00,3372.81,3380.0,3370.84,3377.21,292.9363,2025-05-25 19:59:59.999,988949.06750400,5481,162.66320000,549212.36419700,0
2025-05-25 20:00:00,3377.22,3377.27,3343.88,3347.64,490.4546,2025-05-25 23:59:59.999,1645779.39057200,7754,156.97790000,526484.86840500,0
2025-05-26 00:00:00,3347.65,3359.24,3337.27,3350.77,322.8334,2025-05-26 03:59:59.999,1080702.81174700,6341,159.87410000,535349.62300800,0
2025-05-26 04:00:00,3350.76,3360.0,3340.12,3344.33,459.3218,2025-05-26 07:59:59.999,1539478.43252500,4454,279.62450000,937682.24745900,0
2025-05-26 08:00:00,3344.42,3348.78,3334.83,3339.53,377.4392,2025-05-26 11:59:59.999,1260749.85811500,4995,142.04340000,474575.75609300,0
2025-05-26 12:00:00,3339.53,3352.32,3334.21,3343.64,797.8458,2025-05-26 15:59:59.999,2669041.83016300,8650,366.82910000,1227484.31918100,0
2025-05-26 16:00:00,3343.68,3371.5,3343.5,3355.16,592.3618,2025-05-26 19:59:59.999,1986331.33375200,5863,376.23590000,1261856.80790300,0
2025-05-26 20:00:00,3355.12,3360.5,3351.89,3357.58,250.0452,2025-05-26 23:59:59.999,839282.35742300,3707,130.50520000,438057.90985300,0
2025-05-27 00:00:00,3357.58,3361.21,3344.34,3354.34,195.2276,2025-05-27 03:59:59.999,654847.46622800,2912,97.59100000,327466.46874300,0
2025-05-27 04:00:00,3354.35,3354.56,3310.0,3313.69,558.7619,2025-05-27 07:59:59.999,1860566.38235400,7251,187.15280000,623341.69502000,0
2025-05-27 08:00:00,3313.7,3325.22,3302.0,3303.21,753.2832,2025-05-27 11:59:59.999,2496065.43679500,6989,282.82170000,937247.95419100,0
2025-05-27 12:00:00,3303.21,3315.82,3302.0,3308.35,939.1876,2025-05-27 15:59:59.999,3108223.43700600,7832,438.90070000,1452722.39537400,0
2025-05-27 16:00:00,3308.36,3328.0,3306.13,3318.62,835.9168,2025-05-27 19:59:59.999,2769264.11362800,5905,585.51370000,1939820.43708300,0
2025-05-27 20:00:00,3318.27,3323.69,3310.67,3321.28,134.4129,2025-05-27 23:59:59.999,445799.00430800,2993,63.25940000,209829.49925000,0
2025-05-28 00:00:00,3321.79,3328.0,3305.74,3311.0,356.6381,2025-05-28 03:59:59.999,1182602.75550700,4778,139.03580000,461184.37466200,0
